session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
4817,2840,39.7,39.7,39.7,39.7,0,0.0,0.0,0,0,0,0.0,37.51,0.0,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,5,17,596787000000.0
4816,2840,33.8,39.9,39.9,33.8,5500,0.0,0.0,0,0,0,216400000.0,37.69,0.2,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,5,18,452755000000.0
4815,2840,39.3,39.3,39.3,39.3,0,0.0,0.0,0,0,0,0.0,37.13,0.0,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,5,19,610612000000.0
4814,2840,39.3,39.3,39.3,39.3,0,0.0,0.0,0,0,0,0.0,37.13,0.0,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,5,22,541384000000.0
4813,2840,39.3,39.3,39.3,39.3,0,0.0,0.0,0,0,0,0.0,37.13,0.0,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,5,23,589042000000.0
4812,2840,38.0,38.0,38.0,38.0,9000,0.0,0.0,0,0,0,342000000.0,35.9,-1.3,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,5,24,417134000000.0
4811,2840,37.4,37.4,37.4,37.4,0,0.0,0.0,0,0,0,0.0,35.9,0.0,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,5,25,457573000000.0
4810,2840,37.4,37.4,37.4,37.4,0,0.0,0.0,0,0,0,0.0,35.9,0.0,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,5,26,867663000000.0
4809,2840,37.9,37.9,37.9,37.9,100,0.0,0.0,0,0,0,3790000.0,36.38,0.5,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,5,29,598726000000.0
4808,2840,37.9,37.9,37.9,37.9,0,0.0,0.0,0,0,0,0.0,36.38,0.0,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,5,30,797759000000.0
4807,2840,37.0,37.0,37.0,37.0,4500,0.0,0.0,0,0,0,166500000.0,35.52,-0.9,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,5,31,860345000000.0
4806,2840,31.5,31.5,31.5,31.5,200,0.0,0.0,0,0,0,6300000.0,30.24,-5.5,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,6,1,784243000000.0
4805,2840,26.8,26.8,26.8,26.8,3301,0.0,0.0,0,0,0,88466800.0,25.73,-4.7,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,6,2,911677000000.0
4804,2840,26.8,26.9,27.0,26.7,9400,0.0,0.0,0,0,0,252370000.0,25.82,0.1,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,6,5,850691000000.0
4803,2840,23.1,26.6,26.7,23.1,5000,0.0,0.0,0,0,0,123070000.0,25.53,-0.2,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,6,6,735226000000.0
4802,2840,28.2,25.9,28.2,25.9,900,0.0,0.0,0,0,0,23810000.0,24.86,1.3,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,6,7,779549000000.0
4801,2840,22.8,23.2,27.4,22.8,7400,0.0,0.0,0,0,0,175830000.0,22.27,-3.3,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,6,8,972083000000.0
4800,2840,23.2,21.1,26.2,20.5,1400,0.0,0.0,0,0,0,34700000.0,20.25,-2.7,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,6,9,784155000000.0
4799,2840,21.5,21.6,25.6,21.5,2100,0.0,0.0,0,0,0,45570000.0,20.73,-3.2,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,6,12,637523000000.0
4798,2840,22.7,22.8,22.9,22.7,1500,0.0,0.0,0,0,0,34170000.0,21.89,0.1,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,6,14,763309000000.0
4797,2840,21.0,23.6,23.6,20.2,1600,0.0,0.0,0,0,0,33360000.0,22.65,0.8,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,6,15,619574000000.0
4796,2840,18.0,23.2,23.4,18.0,5300,0.0,0.0,0,0,0,122300000.0,22.27,2.3,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,6,16,897713000000.0
4795,2840,20.2,21.1,21.1,20.2,1200,0.0,0.0,0,0,0,25080000.0,20.25,-2.0,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,6,19,554708000000.0
4794,2840,18.0,21.0,21.0,18.0,300,0.0,0.0,0,0,0,6000000.0,20.16,0.1,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,6,20,557490000000.0
4793,2840,17.1,21.0,22.0,17.1,1600,0.0,0.0,0,0,0,30010000.0,20.16,1.0,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,6,21,817903000000.0
4792,2840,18.9,21.3,21.3,18.9,10800,0.0,0.0,0,0,0,211950000.0,20.45,2.5,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,6,22,833329000000.0
4791,2840,22.5,19.7,22.5,19.7,2000,0.0,0.0,0,0,0,41910000.0,18.91,0.1,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,6,23,847219000000.0
4790,2840,19.2,19.2,19.2,19.2,100,0.0,0.0,0,0,0,1920000.0,18.43,-1.8,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,6,26,860095000000.0
4789,2840,16.6,19.5,21.8,16.6,7700,0.0,0.0,0,0,0,153850000.0,18.72,0.3,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,6,27,567850000000.0
4788,2840,20.0,19.5,20.0,19.3,300,0.0,0.0,0,0,0,5880000.0,18.72,-0.5,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,6,28,659102000000.0
4787,2840,19.5,18.9,20.4,18.9,900,0.0,0.0,0,0,0,17580000.0,18.14,-0.7,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,6,29,666695000000.0
4786,2840,17.7,17.1,19.0,17.1,7300,0.0,0.0,0,0,0,131850000.0,16.41,-2.4,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,6,30,543269000000.0
4785,2840,17.1,18.2,18.6,16.0,2000,0.0,0.0,0,0,0,35840000.0,17.47,0.1,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,7,3,477651000000.0
4784,2840,16.8,17.6,19.9,16.4,6700,0.0,0.0,0,0,0,124280000.0,16.89,-0.3,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,7,4,638481000000.0
4783,2840,17.3,17.4,17.8,17.3,9300,0.0,0.0,0,0,0,162660000.0,16.7,-1.1,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,7,5,701030000000.0
4782,2840,17.7,17.0,17.8,16.7,6800,0.0,0.0,0,0,0,115760000.0,16.32,-0.5,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,7,6,637903000000.0
4781,2840,17.5,16.8,17.5,16.5,21700,0.0,0.0,0,0,0,364110000.0,16.13,-0.2,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,7,7,729580000000.0
4780,2840,16.4,15.9,16.8,15.5,5000,0.0,0.0,0,0,0,80670000.0,15.26,-0.9,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,7,10,1270370000000.0
4779,2840,15.6,16.2,17.1,15.6,4000,0.0,0.0,0,0,0,67380000.0,15.55,0.1,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,7,11,779753000000.0
4778,2840,17.2,16.2,17.2,16.0,20000,0.0,0.0,0,0,0,341280000.0,15.55,-0.6,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,7,12,885074000000.0
4777,2840,15.3,16.7,16.7,15.3,9400,0.0,0.0,0,0,0,151640000.0,16.03,-0.4,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,7,13,793503000000.0
4776,2840,16.0,16.0,16.0,16.0,1000,0.0,0.0,0,0,0,16000000.0,15.36,-0.1,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,7,14,907996000000.0
4775,2840,16.6,15.6,16.6,15.6,1300,0.0,0.0,0,0,0,21130000.0,14.97,-0.4,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,7,17,838562000000.0
4774,2840,16.0,15.6,16.0,15.5,11200,0.0,0.0,0,0,0,179110000.0,14.97,-0.7,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,7,18,673486000000.0
4773,2840,15.0,17.1,17.2,15.0,17900,0.0,0.0,0,0,0,294210000.0,16.41,1.1,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,7,19,739111000000.0
4772,2840,15.9,16.2,16.4,15.9,1600,0.0,0.0,0,0,0,25910000.0,15.55,-0.2,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,7,20,602157000000.0
4771,2840,16.2,15.8,16.3,15.8,19700,0.0,0.0,0,0,0,317180000.0,15.17,-0.4,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,7,21,778375000000.0
4770,2840,15.5,16.1,16.1,15.5,1500,0.0,0.0,0,0,0,23930000.0,15.45,0.0,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,7,24,1006820000000.0
4769,2840,17.2,15.5,17.2,15.4,16600,0.0,0.0,0,0,0,257500000.0,14.88,-0.5,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,7,25,912745000000.0
4768,2840,15.5,15.5,15.5,15.1,4600,0.0,0.0,0,0,0,71070000.0,14.88,0.0,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,7,26,742424000000.0
4767,2840,13.9,15.7,15.7,13.8,63100,0.0,0.0,0,0,0,967180000.0,15.07,2.0,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,7,28,826488000000.0
4766,2840,16.9,15.9,16.9,15.5,2100,0.0,0.0,0,0,0,33800000.0,15.26,0.6,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,7,31,1269880000000.0
4765,2840,14.7,14.7,15.0,14.7,14700,0.0,0.0,0,0,0,219980000.0,14.11,-0.3,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,8,3,1013090000000.0
4764,2840,14.1,14.7,15.0,14.1,3200,0.0,0.0,0,0,0,46550000.0,14.11,-0.3,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,8,4,1247860000000.0
4763,2840,14.5,15.0,15.9,14.2,130200,0.0,0.0,0,0,0,1892240000.0,14.4,0.5,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,8,7,1143560000000.0
4762,2840,15.1,15.4,15.7,15.0,48600,0.0,0.0,0,0,0,738050000.0,14.78,0.9,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,8,8,1123310000000.0
4761,2840,15.3,15.7,16.0,15.3,60700,0.0,0.0,0,0,0,941060000.0,15.07,0.5,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,8,9,1068850000000.0
4760,2840,15.5,15.7,15.8,15.5,31800,0.0,0.0,0,0,0,497250000.0,15.07,0.2,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,8,10,1109030000000.0
4759,2840,15.6,16.4,16.5,15.6,47500,0.0,0.0,0,0,0,760270000.0,15.74,0.8,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,8,11,1164620000000.0
4758,2840,16.4,16.5,16.7,16.4,28700,0.0,0.0,0,0,0,472970000.0,15.84,0.5,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,8,14,877663000000.0
4757,2840,16.5,15.8,16.5,15.6,31100,0.0,0.0,0,0,0,498800000.0,15.17,-0.7,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,8,15,859845000000.0
4756,2840,15.9,15.7,16.2,15.5,16700,0.0,0.0,0,0,0,263360000.0,15.07,-0.3,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,8,16,851752000000.0
4755,2840,15.4,15.4,15.6,15.1,21500,0.0,0.0,0,0,0,328020000.0,14.78,-0.4,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,8,17,981925000000.0
4754,2840,15.5,14.6,15.6,14.6,27500,0.0,0.0,0,0,0,415730000.0,14.01,-0.7,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,8,18,1755080000000.0
4753,2840,14.7,14.6,14.8,13.8,6700,0.0,0.0,0,0,0,95830000.0,14.01,-0.5,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,8,21,687691000000.0
4752,2840,14.5,14.2,14.7,14.0,8200,0.0,0.0,0,0,0,115730000.0,13.63,-0.1,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,8,22,619428000000.0
4751,2840,14.3,14.9,14.9,14.1,1100,0.0,0.0,0,0,0,15870000.0,14.3,0.8,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,8,23,428211000000.0
4750,2840,14.9,15.0,15.0,14.4,6300,0.0,0.0,0,0,0,92530000.0,14.4,0.6,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,8,24,575149000000.0
4749,2840,14.7,14.6,14.7,14.6,2900,0.0,0.0,0,0,0,42520000.0,14.01,-0.1,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,8,25,647039000000.0
4748,2840,14.7,14.8,14.9,14.7,10700,0.0,0.0,0,0,0,157400000.0,14.21,0.1,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,8,28,576712000000.0
4747,2840,14.7,14.7,14.7,14.6,11100,0.0,0.0,0,0,0,162890000.0,14.11,0.0,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,8,29,772956000000.0
4746,2840,14.5,14.9,14.9,14.0,13500,0.0,0.0,0,0,0,198420000.0,14.3,0.2,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,8,30,586790000000.0
4745,2840,14.6,14.6,14.8,14.5,17800,0.0,0.0,0,0,0,261250000.0,14.01,-0.1,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,8,31,730119000000.0
4744,2840,14.8,14.6,14.8,14.6,20400,0.0,0.0,0,0,0,301070000.0,14.01,-0.1,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,9,5,825245000000.0
4743,2840,14.8,14.8,14.8,14.4,19600,0.0,0.0,0,0,0,283750000.0,14.21,0.0,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,9,6,1223680000000.0
4742,2840,14.4,14.4,15.1,14.4,8300,0.0,0.0,0,0,0,119690000.0,13.82,-0.1,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,9,7,964664000000.0
4741,2840,14.4,14.4,14.7,14.3,2500,0.0,0.0,0,0,0,36170000.0,13.82,0.0,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,9,8,1066720000000.0
4740,2840,14.3,14.5,14.5,13.3,8400,0.0,0.0,0,0,0,117090000.0,13.92,0.0,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,9,11,1221320000000.0
4739,2840,13.2,14.2,14.6,13.2,3000,0.0,0.0,0,0,0,41350000.0,13.63,0.3,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,9,12,866340000000.0
4738,2840,14.0,14.7,14.7,13.6,11300,0.0,0.0,0,0,0,160980000.0,14.11,0.9,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,9,13,1392960000000.0
4737,2840,14.2,14.3,14.3,14.0,1200,0.0,0.0,0,0,0,16850000.0,13.73,0.1,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,9,14,1011600000000.0
4736,2840,14.4,14.4,14.4,14.0,8500,0.0,0.0,0,0,0,120540000.0,13.82,0.4,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,9,15,868760000000.0
4735,2840,14.2,14.4,14.4,14.2,3400,0.0,0.0,0,0,0,48300000.0,13.82,0.2,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,9,18,761763000000.0
4734,2840,14.0,14.4,14.4,14.0,7400,0.0,0.0,0,0,0,104060000.0,13.82,0.2,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,9,19,738083000000.0
4733,2840,14.2,14.8,14.8,14.2,3300,0.0,0.0,0,0,0,47720000.0,14.21,0.7,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,9,20,757616000000.0
4732,2840,14.5,14.5,14.5,14.5,700,0.0,0.0,0,0,0,10150000.0,13.92,0.0,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,9,21,1122400000000.0
4731,2840,13.6,14.5,14.5,13.6,14800,0.0,0.0,0,0,0,208330000.0,13.92,0.0,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,9,22,1367230000000.0
4730,2840,14.2,13.3,14.2,13.3,6600,0.0,0.0,0,0,0,90120000.0,12.77,-0.8,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,9,25,1140200000000.0
4729,2840,13.7,13.6,13.7,13.6,3100,0.0,0.0,0,0,0,42180000.0,13.05,-0.1,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,9,26,857658000000.0
4728,2840,13.1,13.8,13.8,13.0,3100,0.0,0.0,0,0,0,41890000.0,13.25,0.2,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,9,27,855741000000.0
4727,2840,13.5,13.5,13.5,13.4,3200,0.0,0.0,0,0,0,43100000.0,12.96,0.0,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,9,28,751249000000.0
4726,2840,13.5,13.4,13.5,13.0,9200,0.0,0.0,0,0,0,122280000.0,12.86,-0.1,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,9,29,536271000000.0
4725,2840,13.4,13.4,13.4,12.9,2100,0.0,0.0,0,0,0,27760000.0,12.86,0.1,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,10,2,553845000000.0
4724,2840,13.0,12.7,13.0,12.7,5500,0.0,0.0,0,0,0,70150000.0,12.19,-0.5,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,10,3,980988000000.0
4723,2840,12.3,12.8,12.8,12.0,5100,0.0,0.0,0,0,0,63700000.0,12.29,0.0,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,10,4,546843000000.0
4722,2840,12.0,14.3,14.3,11.2,9100,0.0,0.0,0,0,0,119340000.0,13.73,1.8,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,10,5,584652000000.0
4721,2840,14.2,12.8,14.2,11.8,2000,0.0,0.0,0,0,0,25910000.0,12.29,-0.3,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,10,6,513676000000.0
4720,2840,11.9,12.9,13.5,11.9,5700,0.0,0.0,0,0,0,72870000.0,12.38,-0.1,0,Tổng Công ty Vật liệu Xây dựng số 1 – Công ty cổ phần,FIC,UPCOM,2018-08-02,,0.0,Bất động sản và Xây dựng,2023,10,9,529047000000.0
