session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
2600,2067,5.7,5.7,5.7,5.7,0,0.0,0.0,0,0,0,0.0,5.7,0.0,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,11,5,349522000000.0
2599,2067,5.7,5.7,5.7,5.7,0,0.0,0.0,0,0,0,0.0,5.7,0.0,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,11,7,413633000000.0
2598,2067,5.7,5.7,5.7,5.7,0,0.0,0.0,0,0,0,0.0,5.7,0.0,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,11,8,276932000000.0
2597,2067,5.7,5.7,5.7,5.7,0,0.0,0.0,0,0,0,0.0,5.7,0.0,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,11,11,328606000000.0
2596,2067,5.7,5.7,5.7,5.7,0,0.0,0.0,0,0,0,0.0,5.7,0.0,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,11,12,4199680000.0
2595,2067,5.7,5.7,5.7,5.7,0,0.0,0.0,0,0,0,0.0,5.7,0.0,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,11,13,260146000000.0
2594,2067,5.7,5.7,5.7,5.7,0,0.0,0.0,0,0,0,0.0,5.7,0.0,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,11,14,228271000000.0
2593,2067,5.7,5.7,5.7,5.7,0,0.0,0.0,0,0,0,0.0,5.7,0.0,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,11,15,326200000000.0
2592,2067,5.7,5.7,5.7,5.7,0,0.0,0.0,0,0,0,0.0,5.7,0.0,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,11,18,406075000000.0
session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
2591,2067,6.1,6.1,6.1,6.1,100,0.0,0.0,0,0,0,610000.0,6.1,0.4,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,11,19,281408000000.0
2590,2067,6.1,6.1,6.1,6.1,0,0.0,0.0,0,0,0,0.0,6.1,0.0,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,11,20,346384000000.0
2589,2067,6.1,6.1,6.1,6.1,0,0.0,0.0,0,0,0,0.0,6.1,0.0,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,11,21,755812000000.0
2588,2067,6.1,6.1,6.1,6.1,0,0.0,0.0,0,0,0,0.0,6.1,0.0,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,11,22,298549000000.0
2587,2067,6.1,6.1,6.1,6.1,0,0.0,0.0,0,0,0,0.0,6.1,0.0,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,11,25,281348000000.0
2586,2067,6.1,6.1,6.1,6.1,0,0.0,0.0,0,0,0,0.0,6.1,0.0,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,11,26,256683000000.0
2585,2067,6.1,6.1,6.1,6.1,0,0.0,0.0,0,0,0,0.0,6.1,0.0,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,11,27,349969000000.0
2584,2067,6.1,6.1,6.1,6.1,0,0.0,0.0,0,0,0,0.0,6.1,0.0,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,11,28,313820000000.0
2584,2067,0.0,6.1,6.1,6.1,0,0.0,0.0,0,0,0,0.0,6.1,0.0,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,11,28,313820000000.0
2584,2067,6.1,6.1,6.1,6.1,0,0.0,0.0,0,0,0,0.0,6.1,0.0,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,11,28,313820000000.0
session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
2613,2067,6.6,6.6,6.6,6.6,100,0.0,0.0,0,0,0,660000.0,6.6,-0.6,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,10,17,296518000000.0
2611,2067,7.2,6.7,7.2,6.7,600,0.0,0.0,0,0,0,4270000.0,6.7,0.1,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,10,21,372179000000.0
2610,2067,6.7,6.7,6.7,6.7,0,0.0,0.0,0,0,0,0.0,6.7,0.0,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,10,22,254130000000.0
2609,2067,6.2,6.2,6.2,6.2,500,0.0,0.0,0,0,0,3100000.0,6.2,-0.5,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,10,23,252022000000.0
2608,2067,6.2,6.2,6.2,6.2,0,0.0,0.0,0,0,0,0.0,6.2,0.0,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,10,24,350803000000.0
2607,2067,5.7,5.7,5.7,5.7,100,0.0,0.0,0,0,0,570000.0,5.7,-0.5,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,10,25,273616000000.0
2606,2067,5.7,5.7,5.7,5.7,0,0.0,0.0,0,0,0,0.0,5.7,0.0,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,10,28,241838000000.0
2605,2067,5.7,5.7,5.7,5.7,0,0.0,0.0,0,0,0,0.0,5.7,0.0,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,10,29,168025000000.0
2604,2067,5.7,5.7,5.7,5.7,0,0.0,0.0,0,0,0,0.0,5.7,0.0,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,10,30,184074000000.0
2603,2067,5.7,5.7,5.7,5.7,0,0.0,0.0,0,0,0,0.0,5.7,0.0,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,10,31,156555000000.0
2602,2067,5.7,5.7,5.7,5.7,0,0.0,0.0,0,0,0,0.0,5.7,0.0,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,11,1,136013000000.0
2601,2067,5.7,5.7,5.7,5.7,0,0.0,0.0,0,0,0,0.0,5.7,0.0,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,11,4,292987000000.0
2600,2067,5.7,5.7,5.7,5.7,0,0.0,0.0,0,0,0,0.0,5.7,0.0,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,11,5,349522000000.0
2599,2067,5.7,5.7,5.7,5.7,0,0.0,0.0,0,0,0,0.0,5.7,0.0,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,11,7,413633000000.0
2598,2067,5.7,5.7,5.7,5.7,0,0.0,0.0,0,0,0,0.0,5.7,0.0,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,11,8,276932000000.0
2597,2067,5.7,5.7,5.7,5.7,0,0.0,0.0,0,0,0,0.0,5.7,0.0,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,11,11,328606000000.0
2596,2067,5.7,5.7,5.7,5.7,0,0.0,0.0,0,0,0,0.0,5.7,0.0,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,11,12,4199680000.0
2595,2067,5.7,5.7,5.7,5.7,0,0.0,0.0,0,0,0,0.0,5.7,0.0,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,11,13,260146000000.0
2594,2067,5.7,5.7,5.7,5.7,0,0.0,0.0,0,0,0,0.0,5.7,0.0,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,11,14,228271000000.0
2593,2067,5.7,5.7,5.7,5.7,0,0.0,0.0,0,0,0,0.0,5.7,0.0,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,11,15,326200000000.0
2592,2067,5.7,5.7,5.7,5.7,0,0.0,0.0,0,0,0,0.0,5.7,0.0,0,Công ty Cổ phần Gạch ngói Kiên Giang,KBT,HNX,2010-07-29,2013-11-28,0.0,,2013,11,18,406075000000.0
